,Close,High,Low,Open,Volume
2017-01-13 10:15:00,809.24,809.78,808.36,808.46,30404.0
2017-01-13 10:20:00,808.52,809.77,808.5,809.57,13119.0
2017-01-13 10:25:00,808.65,809.12,808.6,808.6,2842.0
2017-01-13 10:30:00,808.88,809.3672,808.77,808.77,4640.0
2017-01-13 10:35:00,809.16,809.16,808.7316,808.83,3544.0
2017-01-13 10:40:00,809.31,809.45,808.92,809.2,2300.0
2017-01-13 10:45:00,808.33,809.4,808.33,809.22,9151.0
2017-01-13 10:50:00,808.23,808.81,808.155,808.33,5684.0
2017-01-13 10:55:00,808.6164,808.74,808.22,808.235,2400.0
2017-01-13 11:00:00,808.24,808.96,808.24,808.62,1430.0
2017-01-13 11:05:00,808.33,808.59,808.31,808.59,2900.0
2017-01-13 11:10:00,808.0683,808.31,807.32,808.16,6252.0
2017-01-13 11:15:00,808.06,808.8,807.8,808.0144,3980.0
2017-01-13 11:20:00,808.07,808.19,807.85,808.11,1798.0
2017-01-13 11:25:00,808.97,808.98,808.19,808.19,3469.0
2017-01-13 11:30:00,809.5,809.5,808.67,808.68,4723.0
2017-01-13 11:35:00,809.42,809.69,809.13,809.5,3620.0
2017-01-13 11:40:00,809.76,809.81,809.25,809.4622,6292.0
2017-01-13 11:45:00,809.4,809.76,809.3,809.53,4050.0
2017-01-13 11:50:00,809.49,809.75,809.28,809.46,4538.0
2017-01-13 11:55:00,809.89,809.89,809.39,809.53,23866.0
2017-01-13 12:00:00,809.68,809.88,809.42,809.65,4600.0
2017-01-13 12:05:00,809.13,809.72,809.02,809.65,3175.0
2017-01-13 12:10:00,808.55,809.3,808.55,809.26,2211.0
2017-01-13 12:15:00,808.67,808.72,808.52,808.55,2160.0
2017-01-13 12:20:00,807.44,808.56,807.3,808.5389,3842.0
2017-01-13 12:25:00,807.4976,807.68,807.18,807.42,4081.0
2017-01-13 12:30:00,807.22,807.9199,807.2,807.38,2627.0
2017-01-13 12:35:00,807.96,807.9766,807.4399,807.4399,1782.0
2017-01-13 12:40:00,808.4,808.5352,807.94,807.94,3400.0
2017-01-13 12:45:00,808.34,808.495,808.1705,808.38,2529.0
2017-01-13 12:50:00,808.2576,808.34,808.19,808.34,300.0
2017-01-13 12:55:00,808.5,808.58,808.1815,808.2,7123.0
2017-01-13 13:00:00,808.2415,808.77,808.2275,808.66,3900.0
2017-01-13 13:05:00,809.48,809.59,808.43,808.43,4833.0
2017-01-13 13:10:00,808.89,809.63,808.82,809.36,8317.0
2017-01-13 13:15:00,809.28,809.28,808.89,809.11,2900.0
2017-01-13 13:20:00,809.46,809.5,808.995,809.17,2088.0
2017-01-13 13:25:00,809.03,809.47,808.96,809.355,2657.0
2017-01-13 13:30:00,809.2,809.25,808.92,809.0,2261.0
2017-01-13 13:35:00,809.43,809.48,809.06,809.06,3016.0
2017-01-13 13:40:00,809.41,809.6308,809.0601,809.44,11314.0
2017-01-13 13:45:00,809.37,809.47,809.28,809.41,845.0
2017-01-13 13:50:00,809.14,809.3,808.75,809.29,3307.0
2017-01-13 13:55:00,808.89,809.07,808.66,808.8838,3550.0
2017-01-13 14:00:00,808.33,808.84,808.32,808.79,6891.0
2017-01-13 14:05:00,808.47,808.47,808.09,808.31,13548.0
2017-01-13 14:10:00,808.31,808.8822,808.31,808.48,4851.0
2017-01-13 14:15:00,808.08,808.3,807.86,808.14,8438.0
