,Open,High,Low,Close,Volume
2017-04-06 11:35:00,20.3767,20.38,20.37,20.38,5400.0
2017-04-06 11:40:00,20.38,20.39,20.35,20.39,16080.0
2017-04-06 11:45:00,20.39,20.42,20.34,20.42,13520.0
2017-04-06 11:50:00,20.41,20.4157,20.41,20.4157,500.0
2017-04-06 11:55:00,20.41,20.41,20.39,20.4,5103.0
2017-04-06 12:00:00,20.39,20.39,20.364,20.364,3350.0
2017-04-06 12:05:00,20.36,20.38,20.36,20.37,2322.0
2017-04-06 12:10:00,20.38,20.39,20.37,20.37,5475.0
2017-04-06 12:15:00,20.37,20.37,20.36,20.36,1226.0
2017-04-06 12:20:00,20.364,20.38,20.364,20.37,1539.0
2017-04-06 12:25:00,20.38,20.4,20.379,20.4,3330.0
2017-04-06 12:30:00,20.3901,20.4,20.39,20.39,1450.0
2017-04-06 12:35:00,20.4,20.4,20.39,20.395,1000.0
2017-04-06 12:40:00,20.39,20.4,20.39,20.395,2200.0
2017-04-06 12:45:00,20.39,20.39,20.365,20.39,4158.0
2017-04-06 12:50:00,20.38,20.4,20.38,20.4,2200.0
2017-04-06 12:55:00,20.4,20.4,20.39,20.39,2000.0
2017-04-06 13:00:00,20.38,20.38,20.35,20.37,3186.0
2017-04-06 13:05:00,20.3799,20.39,20.36,20.37,5771.0
2017-04-06 13:10:00,20.37,20.39,20.36,20.38,3633.0
2017-04-06 13:15:00,20.37,20.37,20.37,20.37,100.0
2017-04-06 13:20:00,20.38,20.4,20.375,20.39,3149.0
2017-04-06 13:25:00,20.39,20.41,20.39,20.4,3198.0
2017-04-06 13:30:00,20.4,20.41,20.38,20.38,2160.0
2017-04-06 13:35:00,20.39,20.395,20.38,20.39,2142.0
2017-04-06 13:40:00,20.39,20.405,20.39,20.39,4229.0
2017-04-06 13:45:00,20.36,20.37,20.36,20.37,2721.0
2017-04-06 13:50:00,20.37,20.37,20.35,20.35,1500.0
2017-04-06 13:55:00,20.355,20.38,20.355,20.36,2292.0
2017-04-06 14:00:00,20.36,20.4,20.36,20.4,3187.0
2017-04-06 14:05:00,20.395,20.4,20.38,20.38,2684.0
2017-04-06 14:10:00,20.379,20.38,20.37,20.38,3109.0
2017-04-06 14:15:00,20.37,20.385,20.37,20.385,2615.0
2017-04-06 14:20:00,20.39,20.4,20.38,20.4,2561.0
2017-04-06 14:25:00,20.39,20.42,20.39,20.42,6898.0
2017-04-06 14:30:00,20.41,20.41,20.39,20.405,5726.0
2017-04-06 14:35:00,20.4,20.41,20.4,20.4,961.0
2017-04-06 14:40:00,20.41,20.41,20.4,20.4027,3355.0
2017-04-06 14:45:00,20.41,20.43,20.41,20.43,5000.0
2017-04-06 14:50:00,20.43,20.43,20.4,20.4,20460.0
2017-04-06 14:55:00,20.41,20.42,20.4,20.411,6500.0
2017-04-06 15:00:00,20.41,20.42,20.4,20.4199,5650.0
2017-04-06 15:05:00,20.415,20.42,20.41,20.41,2710.0
2017-04-06 15:10:00,20.41,20.42,20.41,20.41,4164.0
2017-04-06 15:15:00,20.41,20.44,20.41,20.43,19359.0
2017-04-06 15:20:00,20.435,20.46,20.435,20.46,6582.0
2017-04-06 15:25:00,20.46,20.46,20.45,20.455,4272.0
2017-04-06 15:30:00,20.45,20.45,20.42,20.43,6120.0
2017-04-06 15:35:00,20.43,20.435,20.4,20.405,3600.0
2017-04-06 15:40:00,20.4067,20.419,20.405,20.415,5001.0
2017-04-06 15:45:00,20.41,20.43,20.41,20.42,13638.0
2017-04-06 15:50:00,20.42,20.44,20.42,20.435,32793.0
2017-04-06 15:55:00,20.43,20.435,20.42,20.42,16863.0
2017-04-06 16:00:00,20.42,20.43,20.41,20.425,80770.0
2017-04-06 16:05:00,20.42,20.42,20.42,20.42,318208.0
2017-04-06 17:00:00,20.42,20.42,20.42,20.42,7110.0
2017-04-06 17:15:00,20.42,20.42,20.42,20.42,300.0
2017-04-07 09:35:00,20.5,20.5,20.42,20.4378,13085.0
2017-04-07 09:40:00,20.47,20.48,20.44,20.48,750.0
2017-04-07 09:45:00,20.49,20.49,20.45,20.47,5106.0
2017-04-07 09:50:00,20.47,20.47,20.43,20.43,9392.0
2017-04-07 09:55:00,20.43,20.46,20.43,20.45,6000.0
2017-04-07 10:00:00,20.44,20.45,20.38,20.41,5886.0
2017-04-07 10:05:00,20.4191,20.5,20.41,20.4986,9130.0
2017-04-07 10:10:00,20.49,20.5428,20.48,20.52,36185.0
2017-04-07 10:15:00,20.54,20.61,20.54,20.58,8468.0
2017-04-07 10:20:00,20.58,20.585,20.58,20.585,500.0
2017-04-07 10:25:00,20.59,20.6099,20.5864,20.5925,6436.0
2017-04-07 10:30:00,20.6,20.6028,20.58,20.5869,4550.0
2017-04-07 10:35:00,20.59,20.6,20.59,20.59,2300.0
2017-04-07 10:40:00,20.595,20.62,20.5939,20.6159,5500.0
2017-04-07 10:45:00,20.63,20.67,20.6101,20.66,13750.0
2017-04-07 10:50:00,20.66,20.73,20.66,20.72,12162.0
